ticker,date,pre_open_implied_prob,overnight_prob_change,pre_open_pm_volume,pre_open_buy_ratio,is_high_liquidity,signal_direction,signal_quality_score,true_sentiment
AAPL,2026-04-13,0.32,0.07,9975.78,0.4292,True,UP,10.0,
AMZN,2026-04-13,0.34,0.13,5917.07,0.4272,True,UP,10.0,
COIN,2026-04-13,0.2171,-0.0229,10020.11,0.3375,True,DOWN,8.0,
GOOGL,2026-04-13,0.36,0.15,9308.04,0.4923,True,UP,10.0,
META,2026-04-13,0.5,0.27,3587.12,0.5198,True,UP,10.0,
MSFT,2026-04-13,0.75,0.48,10276.0,0.3296,True,UP,10.0,
NFLX,2026-04-13,0.5,0.12,7801.01,0.3724,True,UP,10.0,
NVDA,2026-04-13,0.22,0.01,8365.77,0.3564,True,UP,6.0,
PLTR,2026-04-13,0.73,0.21,8529.17,0.5294,True,UP,10.0,
TSLA,2026-04-13,0.49,0.27,10246.37,0.4136,True,UP,10.0,
