KEY,TIMESTAMP,time_to_exp,open_bet,close_bet,avg_price_up,high_bet,low_bet,total_volume,trade_count,stock_open_day,stock_close,stock_avg_period,stock_vol,poly_vol_imbalance,bs_neutral_prob,true_sentiment,next_stock_move,curr_stock_move,next_true_sent,abs_sentiment
AAPL,2026-02-23 16:30:00,4.417222222222222,0.8,0.79,0.7933333333333333,0.81,0.78,400.8,21,266.17999267578125,266.5899963378906,266.3333333333333,0.23442697784869335,-0.020740740740740726,0.5965337014313311,0.19679963190200223,0.00037506039947811636,,-0.0376882068006863,0.19679963190200223
AAPL,2026-02-23 16:35:00,4.412777777777777,0.78,0.78,0.78,0.78,0.78,40.0,2,266.17999267578125,266.69000244140625,266.4166666666667,0.23138312101394068,0.0,0.6208885748986841,0.15911142510131593,7.494943348309935e-05,0.00037506039947811636,-0.005168910730721454,0.15911142510131593
AAPL,2026-02-23 16:40:00,4.267777777777777,0.78,0.79,0.7887500000000001,0.8,0.78,179.24,8,266.17999267578125,266.7099914550781,266.5141296386719,0.21853298847107938,0.22935323383084572,0.6348074856294056,0.15394251437059447,0.00037489168820743535,7.494943348309935e-05,-0.026722787790179225,0.15394251437059447
AAPL,2026-02-23 16:45:00,4.211666666666666,0.8,0.8,0.8000000000000002,0.8,0.8,39.66,3,266.17999267578125,266.80999755859375,266.6199951171875,0.20130674362120268,-0.151048951048951,0.6727802734195849,0.12721972658041525,0.0001499402043334898,0.00037489168820743535,-0.016500681314481014,0.12721972658041525
AAPL,2026-02-23 16:50:00,4.084444444444443,0.8,0.79,0.79625,0.8,0.79,868.608,16,266.17999267578125,266.8500061035156,266.5566711425781,0.20125771162054987,-0.001178203240058906,0.6855309547340658,0.11071904526593424,-0.0016126643284724213,0.0001499402043334898,0.10181134232486733,0.11071904526593424
AAPL,2026-02-23 16:55:00,4.030555555555555,0.78,0.78,0.78,0.78,0.78,8.9,2,266.17999267578125,266.4200134277344,266.10833740234375,0.20823779004906606,-0.21999999999999997,0.5674696124091985,0.21253038759080156,7.502538410078488e-05,-0.0016126643284724213,-0.027744463645299478,0.21253038759080156
AAPL,2026-02-23 17:00:00,3.940555555555555,0.76,0.76,0.76,0.76,0.76,75.2,4,266.17999267578125,266.44000244140625,266.26500447591144,0.20424679849676092,-0.11999999999999988,0.5752140760544979,0.18478592394550208,0.0011628034738221603,7.502538410078488e-05,-0.06690928973672083,0.18478592394550208
AAPL,2026-02-23 17:05:00,3.852222222222224,0.77,0.8,0.7799999999999999,0.8,0.77,371.8,12,266.17999267578125,266.75,266.61000569661456,0.20380684398520219,-0.19514563106796112,0.6621233657912187,0.11787663420878125,0.0005022269483920973,0.0011628034738221603,0.03429820741909517,0.11787663420878125
AAPL,2026-02-23 17:10:00,3.7566666666666677,0.81,0.85,0.8519354838709677,0.87,0.81,692.6,31,266.17999267578125,266.8840026855469,266.56299845377606,0.20328810088711727,0.19873015873015887,0.6997606422430913,0.15217484162787642,-0.00023981592955860662,0.0005022269483920973,-0.00017936040039412404,0.15217484162787642
AAPL,2026-02-23 17:15:00,3.6672222222222217,0.85,0.87,0.8498636363636364,0.87,0.81,112.8198,11,266.17999267578125,266.82000732421875,266.64666748046875,0.18922689303282375,0.7215004221444941,0.6978681551361541,0.1519954812274823,0.0019689728696333157,-0.00023981592955860662,-0.07047434358038795,0.1519954812274823
AAPL,2026-02-23 17:20:00,3.5955555555555563,0.88,0.92,0.9090392857142857,0.93,0.88,261.19,28,266.17999267578125,267.34588623046875,267.0186258951823,0.1903663800803585,2.322906322409798,0.8275181480671914,0.08152113764709434,-5.9474006651766296e-05,0.0019689728696333157,0.01543042542971973,0.08152113764709434
AAPL,2026-02-23 17:25:00,3.507777777777779,0.93,0.94,0.9339999999999999,0.94,0.93,90.7843,10,266.17999267578125,267.3299865722656,267.15659586588544,0.1827865984747265,1.9191471358944585,0.8370484369231859,0.09695156307681407,-3.733002211520934e-05,-5.9474006651766296e-05,-0.0148479345736513,0.09695156307681407
AAPL,2026-02-23 17:30:00,3.430555555555557,0.93,0.87,0.9214285714285715,0.93,0.87,102.8,14,266.17999267578125,267.32000732421875,267.1716715494792,0.18151376567824465,1.1341463414634148,0.8393249429254087,0.08210362850316277,-3.74455811860632e-05,-3.733002211520934e-05,-0.01839344228492623,0.08210362850316277
AAPL,2026-02-23 17:35:00,3.3377777777777773,0.94,0.89,0.9049999999999999,0.94,0.88,52.7553,12,266.17999267578125,267.30999755859375,267.11207071940106,0.18092372848282748,4.0255273948351284,0.8412898137817634,0.06371018621823654,0.0027272305238718307,-3.74455811860632e-05,-0.06278302747132503,0.06371018621823654
AAPL,2026-02-23 17:40:00,3.272777777777776,0.89,0.97,0.9418181818181818,0.97,0.89,210.2122,11,266.17999267578125,268.0400085449219,267.6566670735677,0.191928708049527,15.694331745256815,0.9408910230712703,0.0009271587469115161,-0.0006154594164754413,0.0027272305238718307,0.04889984764897193,0.0009271587469115161
AAPL,2026-02-23 17:45:00,3.238888888888887,0.97,0.98,0.9742857142857143,0.98,0.97,406.3031,7,266.17999267578125,267.8750915527344,267.6753641764323,0.19141357499946046,-0.020254836037616353,0.9244587078898309,0.049827006395883444,0.00152679137039554,-0.0006154594164754413,-0.036095107097915635,0.049827006395883444
